# Tc Rp/Rs a/Rs F0 sigma
1.698418388785295774e-04 1.101970414359892611e-02 4.011120646606586959e+00 9.999849775280625908e-01 5.586465664423000382e-05
8.002945756508866859e-03 1.321988404443508180e-02 3.655122531953614029e+00 1.000017969410432306e+00 4.325830923018736656e-05
2.303094405818786883e-03 1.153036666327948191e-02 2.998726478276414031e+00 1.000008388019002714e+00 5.319306902272039761e-05
-2.360941903735737368e-04 1.098886927000833000e-02 3.345803207931515644e+00 1.000004821460927396e+00 3.132722640499392811e-05
6.943291409817510529e-03 1.057977291848267651e-02 3.704172129456019036e+00 9.999938702189156148e-01 5.224894405746621253e-05
1.029267974086284232e-05 1.137041245310807004e-02 3.757814125249894666e+00 9.999956593763870139e-01 5.145343593452790683e-05
2.471780918279403716e-03 1.303174153888200792e-02 3.487829144883560772e+00 1.000015638196760426e+00 4.362695877823677474e-05
1.156121261252751609e-03 1.181397861138666107e-02 4.131164884259238335e+00 9.999813686365047749e-01 4.252533930005124795e-05
2.855369411725761086e-03 1.195062072236340034e-02 4.025831352630184767e+00 1.000014174760259555e+00 4.719068149331609154e-05
5.255134623818033535e-03 1.165306820576278261e-02 3.404734415694201211e+00 9.999842517439925249e-01 4.461450483238599469e-05
1.013779642670544628e-03 1.216340110508697114e-02 3.138674175507780717e+00 1.000021430321345273e+00 3.675710414008810770e-05
4.107485463655427549e-03 1.280992503337961483e-02 3.632928503561800415e+00 1.000023527061257189e+00 4.214930835763597386e-05
3.170514176780242499e-03 1.278783316656485758e-02 3.152128766400707605e+00 1.000009056905214022e+00 4.536065858971715113e-05
5.421448358076591534e-03 1.107011107498660774e-02 3.290694117854365608e+00 9.999951632011434555e-01 3.710017507346519963e-05
1.858750995789408555e-03 1.244449076076527966e-02 3.810689767951226603e+00 9.999893618145732077e-01 4.218303471841257189e-05
1.593180511905066543e-03 1.064920290757955662e-02 3.156978172836996777e+00 9.999964818435181924e-01 4.633751438345105601e-05
1.089591362409800951e-03 1.228359237915243284e-02 4.334647649989196161e+00 9.999958505094355132e-01 4.658157162962682556e-05
-1.962475210389759417e-04 1.067995722447391202e-02 3.546056212659362661e+00 1.000000051084981800e+00 4.396934018946872276e-05
7.700060069435792076e-03 1.153799169970510380e-02 3.842484314340007145e+00 9.999981776029837066e-01 4.827108200002742027e-05
9.077426614210126754e-03 1.199203325207082865e-02 3.571733636851848193e+00 1.000002987842646185e+00 4.453208281149018864e-05
3.290308433777602848e-03 1.220416242568539075e-02 3.241221596099173485e+00 1.000001130809610617e+00 5.183631598370633953e-05
6.590811511471422746e-04 1.128520165804866408e-02 4.217350314641749698e+00 9.999896026554410122e-01 4.280830650490124691e-05
7.184466458790311760e-03 1.159237864938099730e-02 3.827247019472123757e+00 9.999867874223036246e-01 4.389446909978159231e-05
