# Tc delta Tdur F0 sigma
4.705853355559515283e-03 1.878501319536763237e-04 6.700284163818569227e-02 9.999987066380285894e-01 2.859003481639433444e-05
8.728075895241133031e-04 1.441119674246494665e-04 8.632087795627707560e-02 1.000015391716141400e+00 5.260774220836366354e-05
1.147691965431775485e-03 1.364727200041874870e-04 5.646335597258148736e-02 9.999779691969027384e-01 4.664717910766127447e-05
4.525701750727861850e-03 1.553858967095282358e-04 6.591343880273485556e-02 1.000003505449527541e+00 2.950835980121290471e-05
1.574958051311199647e-03 1.594963734181108509e-04 7.170964817191839702e-02 1.000014822121723768e+00 5.338395550140349709e-05
5.077830901154344045e-03 1.576699265190437897e-04 6.299476065041759165e-02 9.999801940077642781e-01 4.478552570540269770e-05
-2.366601403141533472e-03 1.371026575063695842e-04 5.874563724248917096e-02 9.999796343265382470e-01 5.192314361756797652e-05
2.880483344676595947e-03 1.271420223865950836e-04 6.188664645590889746e-02 9.999807750655608229e-01 5.142077172216822370e-05
2.162434740021361435e-03 1.976985507848862632e-04 6.656662257202544675e-02 1.000020337519315072e+00 4.730511041954997705e-05
-9.038533290847833301e-04 1.579534330364257657e-04 6.074136861584767538e-02 9.999856357492706849e-01 4.587922190195397085e-05
4.250771890392364416e-03 1.301239306961965978e-04 7.810620011131544360e-02 1.000003243039305767e+00 3.979236486163707282e-05
4.509370485133896989e-03 1.501256138442011944e-04 6.360913129997745885e-02 1.000009316659487446e+00 5.019464439085209392e-05
5.509354076849944104e-03 1.300769785783208806e-04 7.298830736904152183e-02 1.000005338162621715e+00 4.594117524471361027e-05
2.958376269569837347e-03 1.266500629848344860e-04 8.247333906703679940e-02 9.999997203370624144e-01 4.399759542270690666e-05
6.935818152764006150e-03 1.727503373667577645e-04 6.954885322550619087e-02 9.999958481474641170e-01 4.623680800818668127e-05
2.260316704253299835e-03 1.593813337889616374e-04 7.162432253890370359e-02 9.999896810210570086e-01 5.221733494116697667e-05
1.723758660426150113e-05 1.510155035206173755e-04 7.667812151506175899e-02 1.000009464859065167e+00 5.340028339664516430e-05
6.945123887238668914e-03 1.795488455895001903e-04 7.633755012778677129e-02 1.000003657464771933e+00 4.986808691470785026e-05
5.168526179338717164e-03 1.540303366568339892e-04 6.145024204792924605e-02 9.999900909167588337e-01 4.590369763592005883e-05
3.661074840486361337e-03 1.558998932626130536e-04 7.191537480327789278e-02 9.999952711825071949e-01 3.280988782666104271e-05
5.826256227237716634e-03 1.449242078714782197e-04 7.881588839589936946e-02 1.000002072072215364e+00 5.017809259589519803e-05
3.670883103379880830e-03 1.533110505122418736e-04 6.772280635583641240e-02 9.999801928941892681e-01 4.546061209182685798e-05
4.685509779232821526e-03 1.524624347338296286e-04 6.555557933339373200e-02 9.999912200572356191e-01 5.443568597079929771e-05
7.266251397480522067e-03 1.586129255169850235e-04 6.793337424665268909e-02 1.000001649190567665e+00 5.055556871211512712e-05
3.721491502173567001e-03 1.377919448315581617e-04 7.252815613531576888e-02 9.999865067770934424e-01 3.762431209922182339e-05
2.290015142565639261e-03 1.525020510028338714e-04 7.210984872813072655e-02 1.000014511217275359e+00 4.289217798948862832e-05
3.930710789105069936e-03 1.552821242265381766e-04 6.846063169387406333e-02 9.999982376056752997e-01 5.811990270132607315e-05
5.827722417728949111e-03 1.331895063041245496e-04 7.081851755196559572e-02 9.999953584113376870e-01 5.037622555718941522e-05
3.474207316997962591e-03 1.571238623222811332e-04 6.635077496790478535e-02 1.000014299992983968e+00 4.541237077539060619e-05
6.249064786837399410e-03 1.499003268330829344e-04 7.555168116521954191e-02 9.999977439661384970e-01 5.389281096995584658e-05
4.502601687723810364e-03 1.600123238924163990e-04 6.354906223002350363e-02 1.000010720706110634e+00 4.516644253779137242e-05
1.921293462146964059e-03 1.327112934323524014e-04 7.177840468405913277e-02 9.999987870777098387e-01 3.632115816695872412e-05
3.555244313500266484e-03 1.357739808911059994e-04 6.902870718958895035e-02 9.999795070911631223e-01 5.055450430188689564e-05
6.895345282093887085e-03 1.310189592903790369e-04 7.628069453966694613e-02 9.999866873219217522e-01 4.788230983518962949e-05
6.744030514788980357e-03 1.796892737863566979e-04 6.707833115652564460e-02 1.000016902817975062e+00 3.753145381550254168e-05
4.518533058847612471e-03 1.465064508074517488e-04 6.602062692160906576e-02 1.000005252042817094e+00 4.156227783224395247e-05
5.140160609310037709e-03 1.748217323771892478e-04 6.683362982568073762e-02 1.000005474337558820e+00 5.463123062285368554e-05
3.433725349537557203e-03 1.639334567818947022e-04 6.713874692621045470e-02 9.999983747329143080e-01 5.461344700913163503e-05
1.616431688513872422e-03 1.448418388596320848e-04 6.405664844503868027e-02 9.999947228498000662e-01 3.860981418679657821e-05
4.518407254941687878e-03 1.243792670672268772e-04 6.791744766785452747e-02 9.999842759352347565e-01 5.036165700109589632e-05
2.321308574143178538e-03 1.262223219503279953e-04 6.547805298208737856e-02 9.999844575476561914e-01 4.524344030156284230e-05
4.677087428118092971e-04 1.686742806766082080e-04 7.906679369165808824e-02 1.000009335499398633e+00 4.242398335674724407e-05
5.417921608816642087e-03 1.621408826307102079e-04 6.651235733239384273e-02 1.000012581149506641e+00 3.473028060255299468e-05
7.420566904391460994e-03 1.265869301091001556e-04 7.393568138996253758e-02 9.999905512562622389e-01 4.644143736687016962e-05
5.915734471161726571e-03 1.567855011946225311e-04 6.623152759425822433e-02 9.999959213369030708e-01 5.546874190084054431e-05
5.020287048830542054e-03 1.711018388433134963e-04 6.817661828599569374e-02 9.999862126285808950e-01 4.345556970272813820e-05
6.479694822404416521e-03 1.393782959783087085e-04 6.716971676052173323e-02 9.999961172151314859e-01 5.314671745256366987e-05
6.503150917043919177e-03 1.530235183052728752e-04 7.134349486753027714e-02 9.999996992991774247e-01 4.703594645426577596e-05
8.488237388331057454e-03 1.384568027578915363e-04 7.225633404580000807e-02 9.999950441635171439e-01 3.937524131755194129e-05
8.119114920695814919e-03 1.640027195716673943e-04 7.576621848163982154e-02 9.999961472499376836e-01 4.750416894742179200e-05
8.247952817261733349e-03 1.657234439554238815e-04 7.521661855295425081e-02 1.000007841222251059e+00 3.437076930659433072e-05
-2.647147129814647615e-04 1.348332605845914227e-04 7.904842588759580790e-02 9.999985179398843682e-01 3.978114539550942487e-05
5.084623280826247593e-03 1.727422802232777492e-04 7.396923187425288870e-02 1.000009679604825674e+00 4.455552229396114185e-05
5.631140498127344685e-03 1.341069219649081384e-04 6.504638573226946552e-02 9.999823049736811242e-01 4.878607566788147612e-05
-1.540850804792916195e-04 1.620772141888984698e-04 7.722676001133106649e-02 1.000010321523239432e+00 4.601636145681505528e-05
6.443580379840989358e-03 1.310254520523788469e-04 6.682488076716158742e-02 9.999813029675357345e-01 4.632685591654217393e-05
5.199457294340757707e-03 1.501772013811907577e-04 7.269483896909431642e-02 9.999924546968628203e-01 3.802700924118586725e-05
3.786248951102577642e-03 1.611277038239372866e-04 6.441371046781338428e-02 9.999901624353193519e-01 5.063789473019365828e-05
8.617000692922989480e-03 1.634008725182799443e-04 7.473267485282655831e-02 1.000006635032101077e+00 3.948829874783277229e-05
4.301540351131533102e-03 1.583699199162965407e-04 6.318705124325976752e-02 1.000003111639331754e+00 5.035453353512628225e-05
3.767200419020254321e-03 1.602064235821617274e-04 6.774236422601093155e-02 9.999860450489072017e-01 4.794006058069684982e-05
2.859436544651712542e-03 1.511009473796148209e-04 6.720012277311990245e-02 9.999878677554969730e-01 5.147665463230189801e-05
4.728419128061989163e-03 1.694097799166131206e-04 6.489868019149193368e-02 9.999986680505380532e-01 3.399226356805486887e-05
6.103569682579725042e-03 1.653640000626219024e-04 6.741315982172353671e-02 1.000004858112718775e+00 5.387316910771659004e-05
4.016865661179896962e-03 1.492507690567345508e-04 6.602715813332597772e-02 9.999944958340061252e-01 5.122611724044444468e-05
4.489528388963132111e-03 1.831170017118880389e-04 6.295438165510747197e-02 1.000002064589601058e+00 4.677352799230216315e-05
4.686701560083529616e-03 1.410884413318250772e-04 6.342004935626267825e-02 9.999836046620859120e-01 4.490187978411319225e-05
8.651096807737110317e-03 1.499348992851306335e-04 7.093584847263390003e-02 1.000005894628451797e+00 4.203242722241769394e-05
7.520030094714420799e-04 1.465235173849030069e-04 7.716442893816441440e-02 9.999947302407788952e-01 4.385053951148257625e-05
3.319725628946612606e-03 1.776628330495323856e-04 6.974233667402365833e-02 1.000020034148183967e+00 4.696352867084743976e-05
4.913017856194384914e-03 1.557676399568497889e-04 6.910615813518986017e-02 1.000001089898935991e+00 2.727103093061341411e-05
3.885712802390819953e-03 1.765069915555821556e-04 6.566566253860633973e-02 9.999993130116043849e-01 4.929620791429095120e-05
4.061907233541571516e-03 1.447791292368842328e-04 6.555071770979976897e-02 1.000002303649525581e+00 4.210235177615364146e-05
3.791717544225602088e-03 1.703389602786296387e-04 6.994623777151989796e-02 9.999870765526910343e-01 4.254930002460729919e-05
5.927341977043108778e-03 1.672221708034347563e-04 7.215292749709736886e-02 1.000007290225276568e+00 4.691652723820700086e-05
8.669430229197291893e-03 1.587418637005553069e-04 7.091478751033006289e-02 1.000002883903101436e+00 4.710887605313985189e-05
2.499803063523882429e-03 1.584726769121187480e-04 7.197793329892193670e-02 9.999946928664917856e-01 3.691044641266504376e-05
6.058919258980804967e-03 1.367986649706944078e-04 7.561126985303050219e-02 1.000003491951671597e+00 4.714961672827102399e-05
6.585194506125456593e-03 1.378406138934856284e-04 7.260474215043291601e-02 1.000001077800181326e+00 4.341885988136377517e-05
3.604623091242473154e-03 1.416313363544040999e-04 6.274074211348193431e-02 9.999960284348671236e-01 3.735175366121245357e-05
4.664510146112507694e-03 1.913852976839447125e-04 6.907397049006365475e-02 1.000017698937325061e+00 3.913518125241684047e-05
3.810538567839839852e-03 1.635139446576113896e-04 6.770194909892360280e-02 1.000008378802584641e+00 5.033303220119456528e-05
5.361513456123109811e-03 1.543174748511274197e-04 6.902956759077523430e-02 1.000010662524789984e+00 4.742944416975029912e-05
-3.837799603834853024e-04 1.560056295742014414e-04 7.782595120452893978e-02 1.000010088464315938e+00 4.356865165922062434e-05
5.677092898756043449e-03 1.625788748752707812e-04 7.393430245767276809e-02 1.000000878225221435e+00 3.744197908654824179e-05
3.394621239904450916e-03 1.305265435347822901e-04 6.712162106640100212e-02 9.999859497765216654e-01 4.537662929897719351e-05
8.531883341643099750e-03 1.531885595044819544e-04 7.312331613503948724e-02 9.999989405806652965e-01 3.871657335094620835e-05
4.811317777321369449e-03 1.384107356123222201e-04 6.976354763187925245e-02 9.999867905230769294e-01 3.250003745670712601e-05
3.327061613179943533e-03 1.489622613897170148e-04 6.792636886759623183e-02 9.999856094647078253e-01 4.884342225948964196e-05
7.085236945962233857e-04 1.593358102690477717e-04 6.401614222128337861e-02 9.999960158454637149e-01 4.056212202136955298e-05
3.320801311275288492e-03 1.685951699775794371e-04 6.841682825105245558e-02 9.999899247927945822e-01 3.916544245007662589e-05
3.486619243703636961e-03 1.595219142735898122e-04 6.421279674542640370e-02 9.999882279860599077e-01 4.775032330699145765e-05
7.544299431514127352e-03 1.746183380294320830e-04 7.605909094519508473e-02 1.000009180018777810e+00 4.189409881401464459e-05
4.552015725528268941e-03 1.385011896074671452e-04 6.276093336860848193e-02 9.999889617926712715e-01 4.623838430052995671e-05
3.591212023559803290e-03 1.430309367851936788e-04 6.561875348426746135e-02 9.999871856126855141e-01 4.713502165423903202e-05
7.154641809375833494e-04 1.570460363181644728e-04 6.270341902114236199e-02 9.999952848893183255e-01 4.194887434479532845e-05
2.175691143391708660e-03 1.734812282699659599e-04 7.366853807539207322e-02 1.000005565999730894e+00 4.467512025232413876e-05
5.964980635218955496e-03 1.402427149397019260e-04 7.499371916321201370e-02 1.000005448000064634e+00 4.598628056690648246e-05
5.180109783958677938e-03 1.673285755236885830e-04 7.291676404636604492e-02 1.000006062841212406e+00 4.003675047891034044e-05
5.010486554218679389e-03 1.585893541490051206e-04 6.444824169171474437e-02 1.000005108863614822e+00 3.785392534446792539e-05
5.473424269198563785e-03 1.604772935358399102e-04 6.654541323977186673e-02 9.999845815121606307e-01 4.059612041635463780e-05
5.579704161265783280e-03 1.288348395018885581e-04 6.783300648991764936e-02 9.999846601633411991e-01 4.325100325094143001e-05
4.066767140766251731e-03 1.522574415041940061e-04 6.522809012093076786e-02 9.999865604498840987e-01 3.890710008381036502e-05
5.739696207570865738e-03 1.380298327402358334e-04 6.579070033128993356e-02 9.999838361633007766e-01 3.746854159037094702e-05
2.839365700202711729e-03 1.297605445273916332e-04 6.542915878108895855e-02 9.999899577890605240e-01 4.412621174399017750e-05
6.209054272966280097e-03 1.422894654068782168e-04 7.497931622131609464e-02 9.999898755020376617e-01 4.302092817091135023e-05
2.418031468002582174e-03 1.644203524132721497e-04 6.894906779984900924e-02 9.999889883611684516e-01 3.847837733517540736e-05
2.410614176817017784e-03 1.555022752235436247e-04 7.361543931692648979e-02 1.000010765996311335e+00 4.214582335215997377e-05
5.525479394476402739e-03 1.561247746465238182e-04 7.036423686156059731e-02 1.000004046746929776e+00 4.728793293601646130e-05
4.377021661047829360e-03 1.557542641840048588e-04 6.840728571494876509e-02 1.000006644569394698e+00 5.345170864003170549e-05
2.233495848644267978e-03 1.584813600159493195e-04 6.689685425340032021e-02 1.000011305074242518e+00 4.069902512844216473e-05
3.212134595002170967e-03 1.398642519912300891e-04 7.233633808510633867e-02 1.000003576122437954e+00 4.284801854012019090e-05
4.379753235928547650e-03 1.453652742881902525e-04 7.031826335032739794e-02 9.999832299024211668e-01 3.613907248350795248e-05
6.222911249778889653e-03 1.320991245382778804e-04 6.635449342435295605e-02 9.999834626198746967e-01 4.086039066877335100e-05
4.119780966554707768e-03 1.889082223371840383e-04 6.947254805728092508e-02 1.000008079031388331e+00 3.497593959881574086e-05
4.024161333732720336e-03 1.520673601994735257e-04 7.051669816927561008e-02 9.999861197663401091e-01 5.086567859364724546e-05
5.226728109361117314e-03 1.795432941645959467e-04 6.450213385961092727e-02 9.999997270037807029e-01 4.473244853627998121e-05
7.885138492181302527e-03 1.707060711364501529e-04 7.528015146195454754e-02 1.000007977109713453e+00 4.561446391229661277e-05
3.482667287225238439e-03 1.300345649209903398e-04 7.094148818766657372e-02 9.999843150958287463e-01 3.679696628744191192e-05
2.324073251386220285e-03 1.343246875235107351e-04 7.376089472851810047e-02 9.999930633465351493e-01 4.104934467200183594e-05
6.654604808977927777e-03 1.553042734681714366e-04 7.489324682517994880e-02 1.000007150434707892e+00 4.864568971395021789e-05
6.650596958977822437e-03 1.570363140444814383e-04 7.337562949495533837e-02 1.000010569989079112e+00 3.714509575463951916e-05
4.400754681143523306e-03 1.630928798100137866e-04 7.224012379966184005e-02 1.000007036804746674e+00 4.037783701617275186e-05
3.809479687779220025e-03 1.555335177424721483e-04 6.289166619117500523e-02 1.000004912956995895e+00 4.268919063879332982e-05
3.659992985782817287e-03 1.593037761163449545e-04 6.521523348424357325e-02 1.000002246966082087e+00 4.797638359402673052e-05
7.058372754268280036e-03 1.587538541374847829e-04 7.635268332214528719e-02 1.000010015410094377e+00 3.673076504017776950e-05
5.117206764040115041e-03 1.780239330125712278e-04 6.477038083851878458e-02 9.999980092705654799e-01 4.087039660311775168e-05
2.875953221274242522e-03 1.818408550574541018e-04 6.548730429260510300e-02 1.000006859813147297e+00 4.652343842659089127e-05
1.979537081075948002e-03 1.804603022728294508e-04 6.641151646648908724e-02 1.000005940552004313e+00 4.734051116102200876e-05
6.856966180345480666e-03 1.357357191650069520e-04 7.519521660271898111e-02 9.999967256237312085e-01 4.640933142284721710e-05
4.036722642167159258e-03 1.594599224708487912e-04 7.135966776368640740e-02 1.000007803028958975e+00 5.291234894082634500e-05
5.439379388055477771e-03 1.554941199332679871e-04 6.740310784412575917e-02 9.999852756916166596e-01 3.747486160332656833e-05
4.695499410584329236e-03 1.430102999429779540e-04 6.282553393667350550e-02 9.999867542285932887e-01 4.363397777508199078e-05
3.625561365038471040e-03 1.699507799089402290e-04 7.239182433754362544e-02 1.000009316857520814e+00 4.323922462732358163e-05
3.310228659278283136e-03 1.349781203268628205e-04 6.913893759542291684e-02 9.999811127404294453e-01 4.409091555812022349e-05
4.172933038326595567e-03 1.295465279957182150e-04 6.742188229738525773e-02 1.000001564894334116e+00 4.277435851795761832e-05
2.796212660628120961e-03 1.709441861101930612e-04 6.521589823527912388e-02 1.000000758624041586e+00 5.014834830626243483e-05
2.819397660585663823e-03 1.666358553690936632e-04 7.486005611946063010e-02 9.999989176839837457e-01 4.334096314703563891e-05
3.303509454130229561e-03 1.632462457818571625e-04 6.872540742145374915e-02 9.999902205503522490e-01 3.701570239607071300e-05
5.447613557875513601e-03 1.224553932688736489e-04 6.980342635136786711e-02 9.999895751577962955e-01 4.192967568105750295e-05
3.426790026374623710e-03 1.702520149644017565e-04 6.494160646238805734e-02 1.000000040207507102e+00 3.607751508940154503e-05
3.762276472749584433e-03 1.226900175057178287e-04 6.914459781162210494e-02 9.999881329685271769e-01 4.200834346889635855e-05
4.870949964701054569e-03 1.644017811557549357e-04 6.624229471962690685e-02 1.000006246016246214e+00 5.111359544682912866e-05
2.305604914555121898e-03 1.477051526227730991e-04 7.081124029604979331e-02 1.000006149602053807e+00 3.902451787188949365e-05
4.843837212252420643e-03 1.443089993813400545e-04 6.386180745937027059e-02 9.999937578734395816e-01 4.678726003829464654e-05
4.565999646486330887e-03 1.748184626346597809e-04 7.024953992066607089e-02 9.999914417728784644e-01 4.543130828306668305e-05
5.880221998687124030e-03 1.844711637580493464e-04 6.489799049117392360e-02 1.000013008473914944e+00 4.325492538133172553e-05
3.740934823291991451e-03 1.606102822194402228e-04 6.291577042419085886e-02 9.999912305312359528e-01 4.749115568401922766e-05
5.582206098483047385e-03 1.831824710030230104e-04 6.818170445145557701e-02 9.999985048074460092e-01 4.612023212885275956e-05
6.186616514682614920e-03 1.627628347825290159e-04 6.812127267345305381e-02 9.999890804861178983e-01 4.904315286600342952e-05
2.977138645586664689e-03 1.419347745726579665e-04 7.297012845253533775e-02 1.000002073093640753e+00 3.883774932485337448e-05
7.036113894819256975e-03 1.400488436096255813e-04 7.562609354140917284e-02 1.000003326086245314e+00 4.524195382929045603e-05
3.659842928131644413e-03 1.639888642644045120e-04 6.560505623776070883e-02 9.999919442422431359e-01 3.772732909691757058e-05
5.310165372995868938e-03 1.401428218725871047e-04 6.576358077829572157e-02 9.999829201965866332e-01 4.494209519158180109e-05
5.329655708553704407e-03 1.550102698228305231e-04 6.627045810145489046e-02 1.000010552996642321e+00 3.998083630909533994e-05
7.537467288537214039e-03 1.338930135397761799e-04 7.545248387284329838e-02 9.999945393481968203e-01 4.253464021788488751e-05
3.647383938112536139e-03 1.680246975357759008e-04 7.142537532835996350e-02 1.000018056445378223e+00 4.425173249289961495e-05
4.964119943802546009e-03 1.860916396495681125e-04 6.914558520237071293e-02 1.000017417459364566e+00 4.420551098647787687e-05
5.793514560328935636e-03 1.631207943098888558e-04 7.234333290738496902e-02 1.000004446102524147e+00 4.192725696197588116e-05
5.583674863824855672e-03 1.806903271668145068e-04 6.947385901381986084e-02 9.999972006500947863e-01 4.672687621738278883e-05
1.847228166730635612e-03 1.712740915587147796e-04 6.762597674386545965e-02 1.000002371769466825e+00 4.961048270738898091e-05
5.540171273279291542e-03 1.575324315569565071e-04 7.433106446662211819e-02 1.000000569300691033e+00 3.896510772590927867e-05
4.639857330481250708e-03 1.506746492269736147e-04 6.397898245318117683e-02 9.999871658577594857e-01 4.070612974552020147e-05
6.290732916115780726e-03 1.748736151651616262e-04 6.590724241167685016e-02 1.000012385305512730e+00 3.658709758084415561e-05
4.051315887724199483e-03 1.912268099466452498e-04 7.217309765683681266e-02 1.000009482539474082e+00 4.562810242232746627e-05
2.133648252455447314e-03 1.652251217060088687e-04 6.650898251454141763e-02 1.000011694827207975e+00 4.119926817993068536e-05
5.568517015774376855e-03 1.764533252816146585e-04 6.752455974057573751e-02 1.000001510373530245e+00 5.019674182925131217e-05
3.751745013666180073e-03 1.552613547939651656e-04 7.038807763856463895e-02 1.000010422471840910e+00 5.025283464536340890e-05
6.214817165996706916e-03 1.458357543995927646e-04 6.789357474966228878e-02 9.999954942743312092e-01 3.231016872632899744e-05
5.361754724761365332e-03 1.574108614876085167e-04 6.705943247217856229e-02 9.999970500250071614e-01 3.108135258102062958e-05
4.070461689697130181e-03 1.642092959007468433e-04 6.314916217019038436e-02 1.000002332777804925e+00 3.650151645640752854e-05
3.290485577389576366e-03 1.842405542722765251e-04 7.071158868339802450e-02 9.999979693718681339e-01 4.023062029487868655e-05
2.118728094899581527e-03 1.515816700156545822e-04 7.383257621574851326e-02 1.000007496458408029e+00 4.014566844112901604e-05
5.747823865043112657e-03 1.520421648344678987e-04 7.144552844598907326e-02 9.999961227013196563e-01 4.181222321701895059e-05
8.228049551685552576e-03 1.671169605910508796e-04 7.570673907426397897e-02 1.000010092240920301e+00 4.370718447980851822e-05
2.974767637092860795e-03 1.669606021008524801e-04 7.154026365442624213e-02 1.000003931924874356e+00 4.516021685353542825e-05
5.980687295691511363e-03 1.531306706616724841e-04 6.505720338698281480e-02 1.000000280408720021e+00 3.155092160270217419e-05
4.795876449425563737e-03 1.920949932737372340e-04 6.976886596533975193e-02 1.000007710731300348e+00 4.183887481589308781e-05
3.747302108586210434e-03 1.738006766194618441e-04 6.882819221358878192e-02 1.000003330125524448e+00 3.006862438527237809e-05
6.369609870209382019e-03 1.651620385996144735e-04 7.677128586488782269e-02 1.000005325484202290e+00 4.593854992342851038e-05
3.874139240806047380e-03 1.619336642551167684e-04 6.627646053256452952e-02 9.999902550789444566e-01 4.502126527865074580e-05
4.743681217261770666e-03 1.653202775023212211e-04 6.444793606900810212e-02 1.000003484705028534e+00 4.623237910022609228e-05
3.777952874747331213e-03 1.597631610680028970e-04 6.675476558443907416e-02 9.999958105583321988e-01 3.299126243844382312e-05
6.375190123136240117e-03 1.657671338212185518e-04 7.480380045913870291e-02 1.000010460142671587e+00 4.368154322484544752e-05
4.989161923106180674e-03 1.308576654353158018e-04 6.778198050465368552e-02 9.999871135429673208e-01 4.335523364489814803e-05
3.675891098896613696e-03 1.410046024080829105e-04 6.932485607066890543e-02 1.000003173197857143e+00 3.230992550146429655e-05
7.647947472922918266e-03 1.452877016991188338e-04 7.396826871161200911e-02 9.999936184755164881e-01 4.530928588181662187e-05
4.337129338321761562e-03 1.588764622887660393e-04 6.555313114182721723e-02 9.999922237789120594e-01 3.686750304195754717e-05
5.876990637544488028e-03 1.549044978492647765e-04 6.693385972735980960e-02 9.999954738294605239e-01 3.142787110088856130e-05
3.748662104634661874e-03 1.414828504229169134e-04 7.294232699127489727e-02 9.999983838634715072e-01 3.805920723900251852e-05
3.283644398294094380e-03 1.466368397098696276e-04 6.621191375092698450e-02 1.000000010303698117e+00 4.860768242500947719e-05
2.442876003770494409e-03 1.780034860092999263e-04 6.578546008731966932e-02 9.999977255356709005e-01 4.407707512317227534e-05
2.314829887223146532e-03 1.511361957746009961e-04 6.617426084419340826e-02 1.000003327822618582e+00 4.819650154316914854e-05
5.024837765170056536e-03 1.372079404553404780e-04 6.802257299904303223e-02 9.999966383937030079e-01 3.595374438292351201e-05
4.236409761437104349e-03 1.740699393855517710e-04 6.391381465460017897e-02 1.000002182367711656e+00 4.519559149114518346e-05
3.799542539010387909e-03 1.526301767348227747e-04 6.887071039251635440e-02 1.000009260498418762e+00 5.006517744188292629e-05
5.548142481475462628e-03 1.315533904484169443e-04 6.931426095168688462e-02 9.999929018472871745e-01 4.498838782854005863e-05
2.835859443483114417e-03 1.639223517204441854e-04 6.944935376494670853e-02 9.999964303356458917e-01 4.979599792933096054e-05
5.032248371218926708e-03 1.857899926664971578e-04 6.750394743034421330e-02 1.000008616840012632e+00 4.525688938563246451e-05
5.591998863254343810e-03 1.348087052401853564e-04 6.779192400255185103e-02 9.999936268441952381e-01 4.741039924508735686e-05
3.297016445766340342e-03 1.553114331837207097e-04 6.403367834863997465e-02 9.999942638532868244e-01 4.781721609946170266e-05
3.031584688605565292e-03 1.408928065502251185e-04 7.068245968505376675e-02 1.000000411541784651e+00 4.369609753067961444e-05
1.946619216250201900e-03 1.416836571786785060e-04 7.282845719436534249e-02 9.999924190331556106e-01 4.272511972810788219e-05
4.244412001960684577e-03 1.449691529160211819e-04 6.558607719599145180e-02 9.999967937822410446e-01 4.358797842582142298e-05
5.082902570703269618e-03 1.573014069234537991e-04 7.180391197867515285e-02 1.000000775807349251e+00 4.375178060810029640e-05
4.549862371419119422e-03 1.459593100962698186e-04 6.698156561533566422e-02 9.999842146320649938e-01 3.863063809153751538e-05
